sample,patient,component,n_qualifying_centers,n_tumor_in_union,n_tf_candidates_in_union,n_nuclear_supported_candidates,center_x_um,center_y_um,mean_candidate_fraction_at_centers,stromal_fraction_in_union,myoepithelial_fraction_in_union,median_candidate_transcripts
NCBI783,P08,1,139,349,34,4,3253.0096805270628,3864.497296889051,0.1268255887308864,0.20167130919220055,0.011142061281337047,309.5
NCBI783,P08,2,248,931,88,11,2158.9276350944274,795.2650365952521,0.13747194210630562,0.2173246454580299,0.0003832886163280951,299.0
NCBI783,P08,3,89,322,39,3,2631.1500743394486,1711.7395874023437,0.1939017126832874,0.22947045280122794,0.016116653875671526,262.0
NCBI783,P08,4,261,722,72,10,2013.2069044558937,1682.8840836448228,0.1349899738737006,0.2576368876080692,0.002881844380403458,297.5
NCBI783,P08,5,137,281,34,8,1921.044644721929,2469.889367675781,0.13739067224949653,0.24203069657615112,0.0011806375442739079,279.0
NCBI783,P08,6,121,339,33,9,1597.6040047133267,2288.64494245545,0.12697475610643402,0.2270220588235294,0.0,384.0
NCBI783,P08,7,41,91,13,3,3334.7183540158157,655.3186847965891,0.15549608112601562,0.2224622030237581,0.023758099352051837,304.0
NCBI783,P08,8,93,278,30,3,3716.192158885668,4053.7287681661624,0.12380345097279474,0.29958677685950413,0.009641873278236915,250.5
NCBI783,P08,9,134,251,30,7,3088.3969401345325,3159.631376716272,0.160835063865526,0.28038379530916846,0.005330490405117271,403.0
NCBI783,P08,10,6,60,7,3,3200.183870442708,4111.3537109375,0.1421377055222007,0.048561151079136694,0.02877697841726619,341.0
NCBI783,P08,11,62,79,12,2,6960.540422993322,4754.051653462073,0.1536556107600213,0.2944550669216061,0.0,409.5
NCBI783,P08,12,5,73,8,2,4421.496547851561,2832.7773608398434,0.12148600528391469,0.0871559633027523,0.04128440366972477,473.5
NCBI783,P08,13,4,55,9,1,2198.406817626953,2349.335824584961,0.2277777777777778,0.24686192468619247,0.0,181.0
NCBI783,P08,14,16,104,9,4,2071.7494117736815,2054.141159057617,0.1112436005665629,0.30943396226415093,0.0,346.0
NCBI783,P08,15,43,193,16,3,1758.9432588799057,1995.2967892668967,0.1345416015390096,0.3039443155452436,0.0,347.5
NCBI783,P08,16,5,50,5,1,3991.9624951171877,381.0393322753906,0.1,0.4327485380116959,0.0,375.0
NCBI783,P08,17,1,49,5,1,3637.0176025390624,830.5737854003906,0.10204081632653061,0.25,0.0,120.0
NCBI783,P08,18,21,134,12,4,3569.887563941593,638.4029743012927,0.11036139674479006,0.4,0.0,418.5
NCBI783,P08,19,11,37,6,1,3549.123271040483,226.7913914073597,0.21777512799746,0.26535087719298245,0.13815789473684212,292.0
NCBI783,P08,20,4,60,5,2,4401.221765136718,4321.37748413086,0.10481132439099598,0.15121951219512195,0.09268292682926829,508.0
NCBI783,P08,21,127,227,32,7,2195.1609629713644,3667.1883312315454,0.19370130160992047,0.3165266106442577,0.0,364.0
NCBI783,P08,22,98,301,28,7,2270.9212906817997,4643.242515345982,0.12167499170313192,0.30666666666666664,0.0,292.0
NCBI783,P08,23,1,49,5,0,2280.763952636719,4854.845141601562,0.10204081632653061,0.23837209302325582,0.0,203.0
NCBI783,P08,24,17,66,5,0,1779.2845214843749,4371.405761718751,0.1358274756245303,0.23006134969325154,0.003067484662576687,128.0
NCBI783,P08,25,27,80,7,4,3424.811296477141,3257.1925523546006,0.11672766874303477,0.49127906976744184,0.005813953488372093,452.0
NCBI783,P08,26,10,53,8,2,3526.9449682617187,2878.6379528808593,0.1302579883073124,0.3373493975903614,0.014457831325301205,355.0
NCBI783,P08,27,40,40,9,2,3929.2692987060545,4626.613656616211,0.21409877958034382,0.29080675422138835,0.0,303.0
NCBI783,P08,28,1,50,5,1,3150.8406372070312,1655.3076599121093,0.1,0.22564102564102564,0.0,253.0
NCBI783,P08,29,17,93,11,5,2770.8296752929687,946.8697082519532,0.1296260587592864,0.24806201550387597,0.0,204.0
NCBI783,P08,30,19,76,8,2,3140.9703529759463,1963.0681409333881,0.1199201304623648,0.21897810218978103,0.1386861313868613,384.0
