sample,patient,label,source_group,n_cells,n_tf_epithelial_coexpression,fraction_tf_epithelial_coexpression,n_nuclear_coexpression,median_transcripts,mean_measured_hallmark,mean_reference_projection
NCBI785,P07,Perivascular-Like,Other non-tumor,840,192,0.22857142857142856,34,91.0,1.9256547208960715,0.5186883612533331
NCBI785,P07,Prolif_Invasive_Tumor,Tumor,3775,91,0.024105960264900663,12,288.0,0.8642509398289205,0.2224318966026876
NCBI785,P07,Stromal,Stromal,41255,15099,0.36599200096957946,1911,182.0,2.554550952996345,0.5993194306644734
NCBI785,P07,Stromal_&_T_Cell_Hybrid,Uncertain/hybrid,604,35,0.057947019867549666,4,88.0,1.579664990211049,0.40803208298816773
NCBI785,P07,T_Cell_&_Tumor_Hybrid,Uncertain/hybrid,588,60,0.10204081632653061,7,131.5,0.835737176413864,0.2686431374921152
NCBI785,P07,Unlabeled,Uncertain/hybrid,4269,561,0.1314125087842586,44,117.0,1.4104129955559361,0.3764859789506488
NCBI784,P07,B_Cells,Other non-tumor,3769,323,0.08569912443618997,33,102.0,1.2839871706942443,0.32066115137377826
NCBI784,P07,CD4+_T_Cells,Other non-tumor,5844,128,0.02190280629705681,16,73.0,0.8225501213523778,0.2641747017035399
NCBI784,P07,CD8+_T_Cells,Other non-tumor,4918,314,0.06384709231394876,26,94.0,1.003320527956621,0.3100470481767446
NCBI784,P07,DCIS_1,Tumor,7109,70,0.009846673231115488,18,230.0,0.7155613484123277,0.22734097503103423
NCBI784,P07,DCIS_2,Tumor,10004,148,0.01479408236705318,36,285.0,0.8041344689811188,0.2298365417540456
NCBI784,P07,Endothelial,Other non-tumor,6682,2766,0.41394791978449563,485,148.0,1.853590833654565,0.48013757909124083
NCBI784,P07,IRF7+_DCs,Other non-tumor,399,40,0.10025062656641603,9,116.0,1.2821021088692817,0.3028329170147516
NCBI784,P07,Invasive_Tumor,Tumor,15686,439,0.02798673976794594,53,230.0,0.8306264294284803,0.22317753593641088
NCBI784,P07,LAMP3+_DCs,Other non-tumor,203,12,0.059113300492610835,2,75.0,1.084871670533556,0.31882956638739623
NCBI784,P07,Macrophages_1,Other non-tumor,7988,1015,0.1270655983975964,115,122.0,1.3046725601877815,0.3748856958930481
NCBI784,P07,Macrophages_2,Other non-tumor,1557,214,0.13744380218368657,7,140.0,1.7066835326038123,0.47046510159256894
NCBI784,P07,Mast_Cells,Other non-tumor,160,21,0.13125,1,119.5,1.535887951727462,0.3749600630535733
NCBI784,P07,Myoepi_ACTA2+,Myoepithelial,6052,848,0.14011896893588896,102,168.0,1.963515801504457,0.43004762997997525
NCBI784,P07,Myoepi_KRT15+,Myoepithelial,2645,15,0.005671077504725898,5,184.0,1.0595334843918036,0.29212854380468156
NCBI784,P07,Perivascular-Like,Other non-tumor,544,122,0.22426470588235295,16,90.0,1.9803631969396545,0.5263836129743115
NCBI784,P07,Prolif_Invasive_Tumor,Tumor,1851,49,0.026472177201512695,8,307.0,0.905375872871191,0.2262560036801056
NCBI784,P07,Stromal,Stromal,38478,13439,0.3492645147876709,1582,175.0,2.5547341045053558,0.6011028389892112
NCBI784,P07,Stromal_&_T_Cell_Hybrid,Uncertain/hybrid,540,40,0.07407407407407407,1,87.5,1.5594675500964952,0.40704382125194677
NCBI784,P07,T_Cell_&_Tumor_Hybrid,Uncertain/hybrid,248,18,0.07258064516129033,7,128.0,0.851143550868295,0.27111591729542756
NCBI784,P07,Unlabeled,Uncertain/hybrid,2959,343,0.11591753970936126,26,109.0,1.4336420761529882,0.3813325003240876
NCBI783,P08,Adipocytes,Other non-tumor,814,42,0.051597051597051594,5,59.5,1.1676023056801892,0.30951290045575536
NCBI783,P08,B Cells,Other non-tumor,4018,134,0.03334992533598805,33,50.0,1.0170670174692682,0.2832964029133613
NCBI783,P08,CD83+ Macrophage,Other non-tumor,982,86,0.08757637474541752,19,63.0,1.1302647251960394,0.32879177294448547
NCBI783,P08,CD163+ Macrophage,Other non-tumor,5590,358,0.06404293381037567,47,66.0,1.3845836867267056,0.41605355311060715
NCBI783,P08,CTLA4+ T Cells,Other non-tumor,3287,154,0.04685123212655917,20,56.0,0.9931238111034237,0.2934202513614974
NCBI783,P08,DST+ Myoepithelial,Myoepithelial,8426,302,0.035841443152148114,48,65.0,1.772848987574131,0.33269925544599027
NCBI783,P08,ESR1+ Epithelial,Normal epithelial,3657,38,0.010391030899644518,8,77.0,1.1873016004067667,0.25998037597007434
NCBI783,P08,Endothelial,Other non-tumor,13025,2319,0.178042226487524,504,72.0,1.4419495237916375,0.3924612337532092
NCBI783,P08,ITGAX+ Macrophage,Other non-tumor,8573,778,0.09075002916132043,126,72.0,1.2579944158080127,0.3669466545822844
NCBI783,P08,Mast Cells,Other non-tumor,1489,108,0.0725319006044325,7,52.0,1.3765240020137686,0.348401876628315
NCBI783,P08,Not Plotted,Uncertain/hybrid,520,44,0.08461538461538462,11,67.0,1.302711228025217,0.3076077266406285
NCBI783,P08,OPRPN+ Epithelial,Normal epithelial,884,18,0.020361990950226245,4,99.0,1.3188567013225723,0.2928918105345961
NCBI783,P08,PIGR+ Epithelial,Normal epithelial,3569,48,0.013449145418884841,14,74.0,1.1212068475133514,0.2661182042810431
NCBI783,P08,Plasma Cells,Other non-tumor,3275,179,0.05465648854961832,22,74.0,1.328987514687784,0.3372096893141861
NCBI783,P08,Plasmacytoid Dendritic,Other non-tumor,2849,225,0.07897507897507898,46,73.0,1.1208776161110825,0.28689149632963584
NCBI783,P08,Stromal Normal,Stromal,17505,1444,0.08249071693801771,214,66.0,2.1119882363255833,0.46820803269924016
NCBI783,P08,TRAC+ Cells,Other non-tumor,22502,689,0.030619500488845437,104,51.0,0.8299231348599351,0.2747968536339559
NCBI783,P08,Transitional Cells,Published transitional,1029,38,0.0369290573372206,5,105.0,1.625231314798512,0.3089864289961769
NCBI783,P08,Tumor,Tumor,14453,912,0.06310108627966513,178,245.0,0.9201285609238186,0.25722961603383476
NCBI783,P08,Tumor Associated Stromal,Stromal,11189,2489,0.22245062114576816,532,92.0,2.4715721514209563,0.5495339808490509
