sample,patient,null,component,n_centers,p_extent_scan_section,p_extent_three_sections,p_extent_two_statistics_three_sections,n_qualifying_centers,n_tumor_in_union,n_tf_candidates_in_union,n_nuclear_supported_candidates,center_x_um,center_y_um,mean_candidate_fraction_at_centers,stromal_fraction_in_union,myoepithelial_fraction_in_union,median_candidate_transcripts
NCBI784,P07,technical,3,18,0.598,1.0,1.0,18,103,9,2,1055.142827351888,3460.5047980414497,0.1651598804137816,0.1713554987212276,0.2941176470588235,329.0
NCBI784,P07,technical,4,50,0.095,0.285,0.5700000000000001,50,240,20,3,464.2920842285156,1141.6827564697264,0.1125433497381245,0.2697095435684647,0.0,388.0
NCBI784,P07,technical,5,7,0.8905,1.0,1.0,7,86,8,0,331.33225010463167,1623.7051182338166,0.1098979696205435,0.3459715639810427,0.0,303.5
NCBI784,P07,technical,6,2,0.9895,1.0,1.0,2,56,6,0,5416.495715332031,1742.2839721679686,0.1097952629466078,0.3137254901960784,0.2009803921568627,323.0
NCBI784,P07,context,0,70,0.2135,0.6405,1.0,70,374,30,3,636.6258899361746,1476.9195544433592,0.1191193620534375,0.2427536231884058,0.001207729468599,321.5
NCBI784,P07,context,1,158,0.007,0.021,0.042,158,791,62,12,679.4317783597149,2184.088043521929,0.1225238364447011,0.2245567957977675,0.0032829940906106,399.0
NCBI784,P07,context,2,126,0.0175,0.0525,0.105,126,393,32,4,1106.5063579256573,2627.890822250124,0.1123614431082626,0.2769679300291545,0.0009718172983479,424.5
NCBI784,P07,context,3,18,0.9655,1.0,1.0,18,103,9,2,1055.142827351888,3460.5047980414497,0.1651598804137816,0.1713554987212276,0.2941176470588235,329.0
NCBI784,P07,context,4,50,0.4605,1.0,1.0,50,240,20,3,464.2920842285156,1141.6827564697264,0.1125433497381245,0.2697095435684647,0.0,388.0
NCBI784,P07,context,5,7,0.999,1.0,1.0,7,86,8,0,331.33225010463167,1623.7051182338166,0.1098979696205435,0.3459715639810427,0.0,303.5
NCBI784,P07,context,6,2,1.0,1.0,1.0,2,56,6,0,5416.495715332031,1742.2839721679686,0.1097952629466078,0.3137254901960784,0.2009803921568627,323.0
NCBI783,P08,global,0,331,0.02,0.06,0.12,331,627,74,13,2825.266270903158,2271.982372456807,0.1407748169430749,0.2203196347031963,0.0228310502283105,400.0
NCBI783,P08,global,1,139,0.689,1.0,1.0,139,349,34,4,3253.0096805270628,3864.497296889051,0.1268255887308864,0.2016713091922005,0.011142061281337,309.5
NCBI783,P08,global,2,248,0.111,0.333,0.666,248,931,88,11,2158.9276350944274,795.2650365952521,0.1374719421063056,0.2173246454580299,0.000383288616328,299.0
NCBI783,P08,global,3,89,0.9865,1.0,1.0,89,322,39,3,2631.150074339449,1711.7395874023437,0.1939017126832874,0.2294704528012279,0.0161166538756715,262.0
NCBI783,P08,global,4,261,0.0865,0.2594999999999999,0.5189999999999999,261,722,72,10,2013.2069044558937,1682.8840836448228,0.1349899738737006,0.2576368876080692,0.0028818443804034,297.5
NCBI783,P08,global,5,137,0.706,1.0,1.0,137,281,34,8,1921.044644721929,2469.889367675781,0.1373906722494965,0.2420306965761511,0.0011806375442739,279.0
NCBI783,P08,global,6,121,0.8525,1.0,1.0,121,339,33,9,1597.6040047133267,2288.64494245545,0.126974756106434,0.2270220588235294,0.0,384.0
NCBI783,P08,global,7,41,1.0,1.0,1.0,41,91,13,3,3334.718354015816,655.3186847965891,0.1554960811260156,0.2224622030237581,0.0237580993520518,304.0
NCBI783,P08,global,8,93,0.9775,1.0,1.0,93,278,30,3,3716.192158885668,4053.7287681661614,0.1238034509727947,0.2995867768595041,0.0096418732782369,250.5
NCBI783,P08,global,9,134,0.738,1.0,1.0,134,251,30,7,3088.3969401345325,3159.631376716272,0.160835063865526,0.2803837953091684,0.0053304904051172,403.0
NCBI783,P08,global,10,6,1.0,1.0,1.0,6,60,7,3,3200.183870442708,4111.3537109375,0.1421377055222007,0.0485611510791366,0.0287769784172661,341.0
NCBI783,P08,global,11,62,0.9995,1.0,1.0,62,79,12,2,6960.540422993322,4754.051653462073,0.1536556107600213,0.2944550669216061,0.0,409.5
NCBI783,P08,global,12,5,1.0,1.0,1.0,5,73,8,2,4421.496547851561,2832.777360839844,0.1214860052839146,0.0871559633027523,0.0412844036697247,473.5
NCBI783,P08,global,13,4,1.0,1.0,1.0,4,55,9,1,2198.406817626953,2349.335824584961,0.2277777777777778,0.2468619246861924,0.0,181.0
NCBI783,P08,global,14,16,1.0,1.0,1.0,16,104,9,4,2071.749411773681,2054.141159057617,0.1112436005665629,0.3094339622641509,0.0,346.0
NCBI783,P08,global,15,43,1.0,1.0,1.0,43,193,16,3,1758.9432588799057,1995.296789266897,0.1345416015390096,0.3039443155452436,0.0,347.5
NCBI783,P08,global,16,5,1.0,1.0,1.0,5,50,5,1,3991.962495117188,381.0393322753906,0.1,0.4327485380116959,0.0,375.0
NCBI783,P08,global,17,1,1.0,1.0,1.0,1,49,5,1,3637.0176025390624,830.5737854003906,0.1020408163265306,0.25,0.0,120.0
NCBI783,P08,global,18,21,1.0,1.0,1.0,21,134,12,4,3569.887563941593,638.4029743012927,0.11036139674479,0.4,0.0,418.5
NCBI783,P08,global,19,11,1.0,1.0,1.0,11,37,6,1,3549.123271040483,226.7913914073597,0.21777512799746,0.2653508771929824,0.1381578947368421,292.0
NCBI783,P08,global,20,4,1.0,1.0,1.0,4,60,5,2,4401.221765136718,4321.37748413086,0.1048113243909959,0.1512195121951219,0.0926829268292682,508.0
NCBI783,P08,global,21,127,0.8005,1.0,1.0,127,227,32,7,2195.1609629713644,3667.188331231546,0.1937013016099204,0.3165266106442577,0.0,364.0
NCBI783,P08,global,22,98,0.965,1.0,1.0,98,301,28,7,2270.9212906818,4643.242515345982,0.1216749917031319,0.3066666666666666,0.0,292.0
NCBI783,P08,global,23,1,1.0,1.0,1.0,1,49,5,0,2280.763952636719,4854.845141601562,0.1020408163265306,0.2383720930232558,0.0,203.0
NCBI783,P08,global,24,17,1.0,1.0,1.0,17,66,5,0,1779.2845214843749,4371.405761718751,0.1358274756245303,0.2300613496932515,0.0030674846625766,128.0
NCBI783,P08,global,25,27,1.0,1.0,1.0,27,80,7,4,3424.811296477141,3257.1925523546006,0.1167276687430347,0.4912790697674418,0.005813953488372,452.0
NCBI783,P08,global,26,10,1.0,1.0,1.0,10,53,8,2,3526.9449682617187,2878.6379528808598,0.1302579883073124,0.3373493975903614,0.0144578313253012,355.0
NCBI783,P08,global,27,40,1.0,1.0,1.0,40,40,9,2,3929.269298706055,4626.613656616211,0.2140987795803438,0.2908067542213883,0.0,303.0
NCBI783,P08,global,28,1,1.0,1.0,1.0,1,50,5,1,3150.8406372070312,1655.307659912109,0.1,0.2256410256410256,0.0,253.0
NCBI783,P08,global,29,17,1.0,1.0,1.0,17,93,11,5,2770.8296752929687,946.8697082519532,0.1296260587592864,0.2480620155038759,0.0,204.0
NCBI783,P08,global,30,19,1.0,1.0,1.0,19,76,8,2,3140.9703529759463,1963.068140933388,0.1199201304623648,0.218978102189781,0.1386861313868613,384.0
NCBI783,P08,technical,0,331,0.124,0.372,0.744,331,627,74,13,2825.266270903158,2271.982372456807,0.1407748169430749,0.2203196347031963,0.0228310502283105,400.0
NCBI783,P08,technical,1,139,0.954,1.0,1.0,139,349,34,4,3253.0096805270628,3864.497296889051,0.1268255887308864,0.2016713091922005,0.011142061281337,309.5
NCBI783,P08,technical,2,248,0.362,1.0,1.0,248,931,88,11,2158.9276350944274,795.2650365952521,0.1374719421063056,0.2173246454580299,0.000383288616328,299.0
NCBI783,P08,technical,3,89,1.0,1.0,1.0,89,322,39,3,2631.150074339449,1711.7395874023437,0.1939017126832874,0.2294704528012279,0.0161166538756715,262.0
NCBI783,P08,technical,4,261,0.3135,0.9405,1.0,261,722,72,10,2013.2069044558937,1682.8840836448228,0.1349899738737006,0.2576368876080692,0.0028818443804034,297.5
NCBI783,P08,technical,5,137,0.9575,1.0,1.0,137,281,34,8,1921.044644721929,2469.889367675781,0.1373906722494965,0.2420306965761511,0.0011806375442739,279.0
NCBI783,P08,technical,6,121,0.9835,1.0,1.0,121,339,33,9,1597.6040047133267,2288.64494245545,0.126974756106434,0.2270220588235294,0.0,384.0
NCBI783,P08,technical,7,41,1.0,1.0,1.0,41,91,13,3,3334.718354015816,655.3186847965891,0.1554960811260156,0.2224622030237581,0.0237580993520518,304.0
NCBI783,P08,technical,8,93,0.999,1.0,1.0,93,278,30,3,3716.192158885668,4053.7287681661614,0.1238034509727947,0.2995867768595041,0.0096418732782369,250.5
NCBI783,P08,technical,9,134,0.9665,1.0,1.0,134,251,30,7,3088.3969401345325,3159.631376716272,0.160835063865526,0.2803837953091684,0.0053304904051172,403.0
NCBI783,P08,technical,10,6,1.0,1.0,1.0,6,60,7,3,3200.183870442708,4111.3537109375,0.1421377055222007,0.0485611510791366,0.0287769784172661,341.0
NCBI783,P08,technical,11,62,1.0,1.0,1.0,62,79,12,2,6960.540422993322,4754.051653462073,0.1536556107600213,0.2944550669216061,0.0,409.5
NCBI783,P08,technical,12,5,1.0,1.0,1.0,5,73,8,2,4421.496547851561,2832.777360839844,0.1214860052839146,0.0871559633027523,0.0412844036697247,473.5
NCBI783,P08,technical,13,4,1.0,1.0,1.0,4,55,9,1,2198.406817626953,2349.335824584961,0.2277777777777778,0.2468619246861924,0.0,181.0
NCBI783,P08,technical,14,16,1.0,1.0,1.0,16,104,9,4,2071.749411773681,2054.141159057617,0.1112436005665629,0.3094339622641509,0.0,346.0
NCBI783,P08,technical,15,43,1.0,1.0,1.0,43,193,16,3,1758.9432588799057,1995.296789266897,0.1345416015390096,0.3039443155452436,0.0,347.5
NCBI783,P08,technical,16,5,1.0,1.0,1.0,5,50,5,1,3991.962495117188,381.0393322753906,0.1,0.4327485380116959,0.0,375.0
NCBI783,P08,technical,17,1,1.0,1.0,1.0,1,49,5,1,3637.0176025390624,830.5737854003906,0.1020408163265306,0.25,0.0,120.0
NCBI783,P08,technical,18,21,1.0,1.0,1.0,21,134,12,4,3569.887563941593,638.4029743012927,0.11036139674479,0.4,0.0,418.5
NCBI783,P08,technical,19,11,1.0,1.0,1.0,11,37,6,1,3549.123271040483,226.7913914073597,0.21777512799746,0.2653508771929824,0.1381578947368421,292.0
NCBI783,P08,technical,20,4,1.0,1.0,1.0,4,60,5,2,4401.221765136718,4321.37748413086,0.1048113243909959,0.1512195121951219,0.0926829268292682,508.0
NCBI783,P08,technical,21,127,0.9755,1.0,1.0,127,227,32,7,2195.1609629713644,3667.188331231546,0.1937013016099204,0.3165266106442577,0.0,364.0
NCBI783,P08,technical,22,98,0.9985,1.0,1.0,98,301,28,7,2270.9212906818,4643.242515345982,0.1216749917031319,0.3066666666666666,0.0,292.0
NCBI783,P08,technical,23,1,1.0,1.0,1.0,1,49,5,0,2280.763952636719,4854.845141601562,0.1020408163265306,0.2383720930232558,0.0,203.0
NCBI783,P08,technical,24,17,1.0,1.0,1.0,17,66,5,0,1779.2845214843749,4371.405761718751,0.1358274756245303,0.2300613496932515,0.0030674846625766,128.0
NCBI783,P08,technical,25,27,1.0,1.0,1.0,27,80,7,4,3424.811296477141,3257.1925523546006,0.1167276687430347,0.4912790697674418,0.005813953488372,452.0
NCBI783,P08,technical,26,10,1.0,1.0,1.0,10,53,8,2,3526.9449682617187,2878.6379528808598,0.1302579883073124,0.3373493975903614,0.0144578313253012,355.0
NCBI783,P08,technical,27,40,1.0,1.0,1.0,40,40,9,2,3929.269298706055,4626.613656616211,0.2140987795803438,0.2908067542213883,0.0,303.0
NCBI783,P08,technical,28,1,1.0,1.0,1.0,1,50,5,1,3150.8406372070312,1655.307659912109,0.1,0.2256410256410256,0.0,253.0
NCBI783,P08,technical,29,17,1.0,1.0,1.0,17,93,11,5,2770.8296752929687,946.8697082519532,0.1296260587592864,0.2480620155038759,0.0,204.0
NCBI783,P08,technical,30,19,1.0,1.0,1.0,19,76,8,2,3140.9703529759463,1963.068140933388,0.1199201304623648,0.218978102189781,0.1386861313868613,384.0
NCBI783,P08,context,0,331,0.6735,1.0,1.0,331,627,74,13,2825.266270903158,2271.982372456807,0.1407748169430749,0.2203196347031963,0.0228310502283105,400.0
NCBI783,P08,context,1,139,1.0,1.0,1.0,139,349,34,4,3253.0096805270628,3864.497296889051,0.1268255887308864,0.2016713091922005,0.011142061281337,309.5
NCBI783,P08,context,2,248,0.9355,1.0,1.0,248,931,88,11,2158.9276350944274,795.2650365952521,0.1374719421063056,0.2173246454580299,0.000383288616328,299.0
NCBI783,P08,context,3,89,1.0,1.0,1.0,89,322,39,3,2631.150074339449,1711.7395874023437,0.1939017126832874,0.2294704528012279,0.0161166538756715,262.0
NCBI783,P08,context,4,261,0.9055,1.0,1.0,261,722,72,10,2013.2069044558937,1682.8840836448228,0.1349899738737006,0.2576368876080692,0.0028818443804034,297.5
NCBI783,P08,context,5,137,1.0,1.0,1.0,137,281,34,8,1921.044644721929,2469.889367675781,0.1373906722494965,0.2420306965761511,0.0011806375442739,279.0
NCBI783,P08,context,6,121,1.0,1.0,1.0,121,339,33,9,1597.6040047133267,2288.64494245545,0.126974756106434,0.2270220588235294,0.0,384.0
NCBI783,P08,context,7,41,1.0,1.0,1.0,41,91,13,3,3334.718354015816,655.3186847965891,0.1554960811260156,0.2224622030237581,0.0237580993520518,304.0
NCBI783,P08,context,8,93,1.0,1.0,1.0,93,278,30,3,3716.192158885668,4053.7287681661614,0.1238034509727947,0.2995867768595041,0.0096418732782369,250.5
NCBI783,P08,context,9,134,1.0,1.0,1.0,134,251,30,7,3088.3969401345325,3159.631376716272,0.160835063865526,0.2803837953091684,0.0053304904051172,403.0
NCBI783,P08,context,10,6,1.0,1.0,1.0,6,60,7,3,3200.183870442708,4111.3537109375,0.1421377055222007,0.0485611510791366,0.0287769784172661,341.0
NCBI783,P08,context,11,62,1.0,1.0,1.0,62,79,12,2,6960.540422993322,4754.051653462073,0.1536556107600213,0.2944550669216061,0.0,409.5
NCBI783,P08,context,12,5,1.0,1.0,1.0,5,73,8,2,4421.496547851561,2832.777360839844,0.1214860052839146,0.0871559633027523,0.0412844036697247,473.5
NCBI783,P08,context,13,4,1.0,1.0,1.0,4,55,9,1,2198.406817626953,2349.335824584961,0.2277777777777778,0.2468619246861924,0.0,181.0
NCBI783,P08,context,14,16,1.0,1.0,1.0,16,104,9,4,2071.749411773681,2054.141159057617,0.1112436005665629,0.3094339622641509,0.0,346.0
NCBI783,P08,context,15,43,1.0,1.0,1.0,43,193,16,3,1758.9432588799057,1995.296789266897,0.1345416015390096,0.3039443155452436,0.0,347.5
NCBI783,P08,context,16,5,1.0,1.0,1.0,5,50,5,1,3991.962495117188,381.0393322753906,0.1,0.4327485380116959,0.0,375.0
NCBI783,P08,context,17,1,1.0,1.0,1.0,1,49,5,1,3637.0176025390624,830.5737854003906,0.1020408163265306,0.25,0.0,120.0
NCBI783,P08,context,18,21,1.0,1.0,1.0,21,134,12,4,3569.887563941593,638.4029743012927,0.11036139674479,0.4,0.0,418.5
NCBI783,P08,context,19,11,1.0,1.0,1.0,11,37,6,1,3549.123271040483,226.7913914073597,0.21777512799746,0.2653508771929824,0.1381578947368421,292.0
NCBI783,P08,context,20,4,1.0,1.0,1.0,4,60,5,2,4401.221765136718,4321.37748413086,0.1048113243909959,0.1512195121951219,0.0926829268292682,508.0
NCBI783,P08,context,21,127,1.0,1.0,1.0,127,227,32,7,2195.1609629713644,3667.188331231546,0.1937013016099204,0.3165266106442577,0.0,364.0
NCBI783,P08,context,22,98,1.0,1.0,1.0,98,301,28,7,2270.9212906818,4643.242515345982,0.1216749917031319,0.3066666666666666,0.0,292.0
NCBI783,P08,context,23,1,1.0,1.0,1.0,1,49,5,0,2280.763952636719,4854.845141601562,0.1020408163265306,0.2383720930232558,0.0,203.0
NCBI783,P08,context,24,17,1.0,1.0,1.0,17,66,5,0,1779.2845214843749,4371.405761718751,0.1358274756245303,0.2300613496932515,0.0030674846625766,128.0
NCBI783,P08,context,25,27,1.0,1.0,1.0,27,80,7,4,3424.811296477141,3257.1925523546006,0.1167276687430347,0.4912790697674418,0.005813953488372,452.0
NCBI783,P08,context,26,10,1.0,1.0,1.0,10,53,8,2,3526.9449682617187,2878.6379528808598,0.1302579883073124,0.3373493975903614,0.0144578313253012,355.0
NCBI783,P08,context,27,40,1.0,1.0,1.0,40,40,9,2,3929.269298706055,4626.613656616211,0.2140987795803438,0.2908067542213883,0.0,303.0
NCBI783,P08,context,28,1,1.0,1.0,1.0,1,50,5,1,3150.8406372070312,1655.307659912109,0.1,0.2256410256410256,0.0,253.0
NCBI783,P08,context,29,17,1.0,1.0,1.0,17,93,11,5,2770.8296752929687,946.8697082519532,0.1296260587592864,0.2480620155038759,0.0,204.0
NCBI783,P08,context,30,19,1.0,1.0,1.0,19,76,8,2,3140.9703529759463,1963.068140933388,0.1199201304623648,0.218978102189781,0.1386861313868613,384.0
