sample,patient,null,component,n_centers,p_extent_scan_section,p_extent_three_sections,p_extent_two_statistics_three_sections
NCBI783,P08,global,15,43,1.0,1.0,1.0
NCBI783,P08,global,16,5,1.0,1.0,1.0
NCBI783,P08,global,17,1,1.0,1.0,1.0
NCBI783,P08,global,18,21,1.0,1.0,1.0
NCBI783,P08,global,19,11,1.0,1.0,1.0
NCBI783,P08,global,20,4,1.0,1.0,1.0
NCBI783,P08,global,21,127,0.8005,1.0,1.0
NCBI783,P08,global,22,98,0.965,1.0,1.0
NCBI783,P08,global,23,1,1.0,1.0,1.0
NCBI783,P08,global,24,17,1.0,1.0,1.0
NCBI783,P08,global,25,27,1.0,1.0,1.0
NCBI783,P08,global,26,10,1.0,1.0,1.0
NCBI783,P08,global,27,40,1.0,1.0,1.0
NCBI783,P08,global,28,1,1.0,1.0,1.0
NCBI783,P08,global,29,17,1.0,1.0,1.0
NCBI783,P08,global,30,19,1.0,1.0,1.0
NCBI783,P08,technical,0,331,0.124,0.372,0.744
NCBI783,P08,technical,1,139,0.954,1.0,1.0
NCBI783,P08,technical,2,248,0.362,1.0,1.0
NCBI783,P08,technical,3,89,1.0,1.0,1.0
NCBI783,P08,technical,4,261,0.3135,0.9405,1.0
NCBI783,P08,technical,5,137,0.9575,1.0,1.0
NCBI783,P08,technical,6,121,0.9835,1.0,1.0
NCBI783,P08,technical,7,41,1.0,1.0,1.0
NCBI783,P08,technical,8,93,0.999,1.0,1.0
NCBI783,P08,technical,9,134,0.9665,1.0,1.0
NCBI783,P08,technical,10,6,1.0,1.0,1.0
NCBI783,P08,technical,11,62,1.0,1.0,1.0
NCBI783,P08,technical,12,5,1.0,1.0,1.0
NCBI783,P08,technical,13,4,1.0,1.0,1.0
NCBI783,P08,technical,14,16,1.0,1.0,1.0
NCBI783,P08,technical,15,43,1.0,1.0,1.0
NCBI783,P08,technical,16,5,1.0,1.0,1.0
NCBI783,P08,technical,17,1,1.0,1.0,1.0
NCBI783,P08,technical,18,21,1.0,1.0,1.0
NCBI783,P08,technical,19,11,1.0,1.0,1.0
NCBI783,P08,technical,20,4,1.0,1.0,1.0
NCBI783,P08,technical,21,127,0.9755,1.0,1.0
NCBI783,P08,technical,22,98,0.9985,1.0,1.0
NCBI783,P08,technical,23,1,1.0,1.0,1.0
NCBI783,P08,technical,24,17,1.0,1.0,1.0
NCBI783,P08,technical,25,27,1.0,1.0,1.0
NCBI783,P08,technical,26,10,1.0,1.0,1.0
NCBI783,P08,technical,27,40,1.0,1.0,1.0
NCBI783,P08,technical,28,1,1.0,1.0,1.0
NCBI783,P08,technical,29,17,1.0,1.0,1.0
NCBI783,P08,technical,30,19,1.0,1.0,1.0
NCBI783,P08,context,0,331,0.6735,1.0,1.0
NCBI783,P08,context,1,139,1.0,1.0,1.0
NCBI783,P08,context,2,248,0.9355,1.0,1.0
NCBI783,P08,context,3,89,1.0,1.0,1.0
NCBI783,P08,context,4,261,0.9055,1.0,1.0
NCBI783,P08,context,5,137,1.0,1.0,1.0
NCBI783,P08,context,6,121,1.0,1.0,1.0
NCBI783,P08,context,7,41,1.0,1.0,1.0
NCBI783,P08,context,8,93,1.0,1.0,1.0
NCBI783,P08,context,9,134,1.0,1.0,1.0
NCBI783,P08,context,10,6,1.0,1.0,1.0
NCBI783,P08,context,11,62,1.0,1.0,1.0
NCBI783,P08,context,12,5,1.0,1.0,1.0
NCBI783,P08,context,13,4,1.0,1.0,1.0
NCBI783,P08,context,14,16,1.0,1.0,1.0
NCBI783,P08,context,15,43,1.0,1.0,1.0
NCBI783,P08,context,16,5,1.0,1.0,1.0
NCBI783,P08,context,17,1,1.0,1.0,1.0
NCBI783,P08,context,18,21,1.0,1.0,1.0
NCBI783,P08,context,19,11,1.0,1.0,1.0
NCBI783,P08,context,20,4,1.0,1.0,1.0
NCBI783,P08,context,21,127,1.0,1.0,1.0
NCBI783,P08,context,22,98,1.0,1.0,1.0
NCBI783,P08,context,23,1,1.0,1.0,1.0
NCBI783,P08,context,24,17,1.0,1.0,1.0
NCBI783,P08,context,25,27,1.0,1.0,1.0
NCBI783,P08,context,26,10,1.0,1.0,1.0
NCBI783,P08,context,27,40,1.0,1.0,1.0
NCBI783,P08,context,28,1,1.0,1.0,1.0
NCBI783,P08,context,29,17,1.0,1.0,1.0
NCBI783,P08,context,30,19,1.0,1.0,1.0
